invoiceid,custID,prodID,cal_day,cal_month,cal_quarter,cal_year,fiscal_quarter,fiscal_year,qty,amt,discounted
6797,18,1,5,5,2,6,1,6,177,29199.69,0
6814,25,1,6,12,4,6,3,6,20,3299.4,0
6829,32,1,9,8,3,10,2,10,32,5279.04,0
6923,36,1,26,6,2,6,1,6,160,26395.2,0
7092,19,1,3,2,1,9,4,8,43,7093.71,0
7112,32,1,12,6,2,9,1,9,30,4949.1,0
7182,27,1,2,6,2,8,1,8,139,22930.83,0
7194,33,1,31,1,1,5,3,4,42,6928.74,0
7293,7,1,3,6,2,9,1,9,152,25075.44,0
7299,26,1,25,2,1,9,4,8,29,4784.13,0
7418,16,1,15,2,1,10,4,9,147,24250.59,0
7440,16,1,6,12,4,8,3,8,55,9073.35,0
7471,17,1,21,7,3,9,1,9,57,9403.29,0
7543,35,1,4,11,4,10,3,10,187,30849.39,0
7707,30,1,15,9,3,9,2,9,34,5608.98,0
7987,13,1,15,8,3,9,2,9,147,24250.59,0
8012,2,1,27,5,2,6,1,6,200,32994.0,0
8132,31,1,16,8,3,8,2,8,171,28209.87,0
8207,4,1,14,7,3,5,1,5,79,13032.63,0
8240,24,1,15,5,2,7,1,7,198,32664.06,0
8244,13,1,27,7,3,5,1,5,198,32664.06,0
8289,28,1,21,3,1,7,4,6,186,30684.42,0
8293,38,1,11,10,4,8,2,8,91,15012.27,0
8296,34,1,1,9,3,10,2,10,19,3134.43,0
8358,34,1,13,10,4,8,2,8,63,10393.11,0
8367,5,1,14,3,1,9,4,8,177,29199.69,0
8560,32,1,10,12,4,8,3,8,57,9403.29,0
8607,39,1,4,10,4,8,2,8,43,7093.71,0
8702,15,1,27,6,2,6,1,6,112,18476.64,0
8806,11,1,1,3,1,10,4,9,74,12207.78,0
8861,26,1,26,7,3,8,1,8,122,20126.34,0
8893,1,1,21,11,4,9,3,9,106,17486.82,0
8985,16,1,22,11,4,6,3,6,196,32334.12,0
9081,19,1,20,5,2,6,1,6,182,30024.54,0
9109,12,1,18,9,3,6,2,6,33,5444.01,0
9192,35,1,15,7,3,6,1,6,90,14847.3,0
9222,39,1,13,9,3,10,2,10,177,29199.69,0
9321,34,1,3,2,1,10,4,9,127,20951.19,0
9523,3,1,26,3,1,7,4,6,159,26230.23,0
9680,4,1,29,5,2,10,1,10,140,23095.8,0
9733,6,1,8,8,3,8,2,8,30,4949.1,0
9735,11,1,6,10,4,10,2,10,178,29364.66,0
9768,4,1,12,10,4,8,2,8,20,3299.4,0
9792,2,1,4,1,1,9,3,8,31,5114.07,0
9866,7,1,11,8,3,6,2,6,10,1649.7,0
9924,4,1,29,6,2,7,1,7,20,3299.4,0
9955,37,1,16,10,4,6,2,6,149,24580.53,0
10144,32,1,8,11,4,10,3,10,158,26065.26,0
10260,8,1,25,6,2,10,1,10,47,7753.59,0
10294,12,1,15,12,4,9,3,9,130,21446.1,0
10475,12,1,1,9,3,7,2,7,116,19136.52,0
10479,40,1,2,5,2,9,1,9,39,6433.83,0
10509,39,1,13,10,4,8,2,8,158,26065.26,0
10593,33,1,21,1,1,7,3,6,130,21446.1,0
10746,29,1,6,12,4,8,3,8,45,7423.65,0
10868,6,1,24,8,3,6,2,6,134,22105.98,0
11001,24,1,25,4,2,9,4,8,21,3464.37,0
11142,25,1,17,6,2,6,1,6,155,25570.35,0
11212,38,1,25,3,1,9,4,8,114,18806.58,0
11262,11,1,4,5,2,5,1,5,18,2969.46,0
11310,20,1,20,5,2,8,1,8,22,3629.34,0
11344,16,1,25,10,4,9,2,9,58,9568.26,0
11441,19,1,18,9,3,8,2,8,141,23260.77,0
11589,16,1,8,4,2,5,4,4,113,18641.61,0
11866,29,1,17,4,2,9,4,8,199,32829.03,0
11873,26,1,2,5,2,9,1,9,136,22435.92,0
11998,28,1,21,9,3,8,2,8,19,3134.43,0
12275,15,1,1,5,2,7,1,7,53,8743.41,0
12329,38,1,1,8,3,10,2,10,107,17651.79,0
12330,28,1,30,5,2,9,1,9,102,16826.94,0
12366,40,1,15,3,1,10,4,9,137,22600.89,0
12382,33,1,28,6,2,5,1,5,166,27385.02,0
12438,1,1,12,1,1,8,3,7,186,30684.42,0
12491,38,1,22,8,3,8,2,8,167,27549.99,0
12540,17,1,30,3,1,7,4,6,182,30024.54,0
12568,12,1,4,9,3,10,2,10,35,5773.95,0
12707,35,1,3,10,4,9,2,9,83,13692.51,0
12818,37,1,10,4,2,7,4,6,67,11052.99,0
12977,12,1,10,6,2,6,1,6,131,21611.07,0
13007,12,1,14,11,4,5,3,5,108,17816.76,0
13054,20,1,1,9,3,10,2,10,104,17156.88,0
13294,24,1,15,7,3,5,1,5,121,19961.37,0
13417,26,1,17,2,1,10,4,9,192,31674.24,0
13478,29,1,4,6,2,6,1,6,35,5773.95,0
13486,25,1,3,3,1,5,4,4,176,29034.72,0
13662,9,1,19,12,4,8,3,8,72,11877.84,0
13668,13,1,6,10,4,7,2,7,65,10723.05,0
13711,25,1,3,8,3,7,2,7,192,31674.24,0
13817,29,1,11,10,4,8,2,8,41,6763.77,0
13931,34,1,27,6,2,7,1,7,86,14187.42,0
13964,6,1,15,11,4,6,3,6,184,30354.48,0
13981,20,1,25,2,1,5,4,4,159,26230.23,0
14024,38,1,30,4,2,9,4,8,21,3464.37,0
14117,12,1,22,4,2,9,4,8,164,27055.08,0
14164,19,1,11,1,1,8,3,7,20,3299.4,0
14197,24,1,31,3,1,9,4,8,141,23260.77,0
14262,2,1,13,5,2,6,1,6,63,10393.11,0
14276,16,1,15,1,1,5,3,4,40,6598.8,0
14283,19,1,14,5,2,6,1,6,73,12042.81,0
14345,6,1,20,10,4,8,2,8,116,19136.52,0
14685,30,1,21,2,1,9,4,8,148,24415.56,0
14697,17,1,1,4,2,5,4,4,107,17651.79,0
14782,22,1,19,9,3,5,2,5,131,21611.07,0
14816,23,1,17,10,4,5,2,5,55,9073.35,0
14864,30,1,27,7,3,6,1,6,54,8908.38,0
14946,19,1,10,12,4,10,3,10,113,18641.61,0
14949,3,1,14,4,2,9,4,8,44,7258.68,0
14968,26,1,3,7,3,6,1,6,82,13527.54,0
15014,20,1,7,12,4,6,3,6,37,6103.89,0
15047,28,1,16,11,4,8,3,8,178,29364.66,0
15144,17,1,28,9,3,8,2,8,18,2969.46,0
15179,19,1,13,9,3,7,2,7,71,11712.87,0
15235,15,1,21,5,2,7,1,7,77,12702.69,0
15370,36,1,22,1,1,7,3,6,198,32664.06,0
15437,31,1,12,2,1,9,4,8,72,11877.84,0
15561,35,1,21,10,4,8,2,8,89,14682.33,0
15614,2,1,18,10,4,8,2,8,106,17486.82,0
15749,18,1,26,2,1,9,4,8,20,3299.4,0
15755,26,1,22,5,2,6,1,6,100,16497.0,0
15820,39,1,25,3,1,9,4,8,44,7258.68,0
15839,5,1,3,12,4,10,3,10,62,10228.14,0
15875,28,1,28,9,3,6,2,6,99,16332.03,0
16033,17,1,18,7,3,9,1,9,78,12867.66,0
16043,9,1,27,1,1,10,3,9,136,22435.92,0
16054,13,1,16,2,1,10,4,9,198,32664.06,0
16160,34,1,7,7,3,10,1,10,82,13527.54,0
16201,6,1,3,8,3,7,2,7,72,11877.84,0
16253,10,1,28,2,1,6,4,5,127,20951.19,0
16260,32,1,16,12,4,9,3,9,58,9568.26,0
16269,11,1,2,5,2,9,1,9,189,31179.33,0
16270,28,1,3,2,1,10,4,9,173,28539.81,0
16336,38,1,29,5,2,6,1,6,80,13197.6,0
16546,28,1,30,9,3,5,2,5,139,22930.83,0
16564,8,1,11,2,1,6,4,5,168,27714.96,0
16589,3,1,26,9,3,5,2,5,44,7258.68,0
16600,14,1,20,6,2,5,1,5,10,1649.7,0
16623,4,1,15,2,1,10,4,9,55,9073.35,0
16887,13,1,20,9,3,8,2,8,43,7093.71,0
16906,18,1,9,12,4,6,3,6,122,20126.34,0
16938,13,1,28,5,2,10,1,10,72,11877.84,0
16940,24,1,5,6,2,7,1,7,195,32169.15,0
16985,23,1,8,4,2,8,4,7,145,23920.65,0
17010,1,1,15,11,4,9,3,9,126,20786.22,0
17137,33,1,11,11,4,5,3,5,103,16991.91,0
17151,35,1,20,4,2,6,4,5,194,32004.18,0
17264,21,1,7,8,3,8,2,8,189,31179.33,0
17283,40,1,10,10,4,8,2,8,34,5608.98,0
17293,40,1,11,1,1,8,3,7,146,24085.62,0
17454,4,1,14,2,1,7,4,6,147,24250.59,0
17468,14,1,21,4,2,6,4,5,69,11382.93,0
17473,27,1,27,1,1,8,3,7,127,20951.19,0
17528,1,1,3,4,2,7,4,6,58,9568.26,0
17610,27,1,8,2,1,9,4,8,38,6268.86,0
17794,28,1,13,2,1,10,4,9,190,31344.3,0
17820,30,1,26,9,3,7,2,7,48,7918.56,0
17878,1,1,26,5,2,7,1,7,34,5608.98,0
17977,11,1,6,2,1,6,4,5,181,29859.57,0
18014,17,1,3,11,4,5,3,5,82,13527.54,0
18036,33,1,16,1,1,9,3,8,91,15012.27,0
18124,3,1,1,8,3,10,2,10,107,17651.79,0
18297,7,1,14,6,2,8,1,8,192,31674.24,0
18300,36,1,31,5,2,9,1,9,102,16826.94,0
18342,37,1,3,6,2,9,1,9,137,22600.89,0
18380,19,1,16,7,3,9,1,9,59,9733.23,0
18669,28,1,13,10,4,7,2,7,90,14847.3,0
18779,5,1,18,3,1,10,4,9,86,14187.42,0
19039,23,1,27,10,4,7,2,7,88,14517.36,0
19106,5,1,17,7,3,5,1,5,43,7093.71,0
19125,9,1,6,7,3,7,1,7,191,31509.27,0
19159,10,1,2,8,3,7,2,7,87,14352.39,0
19190,23,1,25,2,1,7,4,6,101,16661.97,0
19263,30,1,29,3,1,9,4,8,48,7918.56,0
19315,37,1,17,8,3,8,2,8,135,22270.95,0
19350,25,1,2,12,4,7,3,7,26,4289.22,0
19471,14,1,25,6,2,5,1,5,115,18971.55,0
19482,12,1,30,9,3,8,2,8,193,31839.21,0
19498,17,1,6,3,1,7,4,6,110,18146.7,0
19578,14,1,25,1,1,10,3,9,108,17816.76,0
19597,21,1,8,9,3,6,2,6,97,16002.09,0
19819,13,1,5,5,2,5,1,5,51,8413.47,0
19858,32,1,27,3,1,10,4,9,128,21116.16,0
19947,19,1,13,2,1,6,4,5,24,3959.28,0
19960,26,1,3,12,4,6,3,6,75,12372.75,0
19982,40,1,5,2,1,10,4,9,35,5773.95,0
20050,25,1,6,9,3,9,2,9,121,19961.37,0
20107,13,1,26,3,1,7,4,6,57,9403.29,0
20116,22,1,8,2,1,7,4,6,121,19961.37,0
20205,40,1,25,3,1,9,4,8,25,4124.25,0
20206,13,1,1,11,4,7,3,7,191,31509.27,0
20263,21,1,10,12,4,8,3,8,123,20291.31,0
20456,2,1,23,3,1,10,4,9,56,9238.32,0
20511,15,1,7,9,3,8,2,8,18,2969.46,0
20517,24,1,17,2,1,5,4,4,36,5938.92,0
20527,34,1,14,6,2,6,1,6,124,20456.28,0
20667,30,1,8,10,4,8,2,8,182,30024.54,0
20763,30,1,8,12,4,10,3,10,39,6433.83,0
20838,17,1,2,1,1,9,3,8,108,17816.76,0
20959,22,1,18,2,1,9,4,8,52,8578.44,0
20983,33,1,13,11,4,6,3,6,182,30024.54,0
21044,40,1,20,11,4,7,3,7,183,30189.51,0
21147,7,1,6,1,1,7,3,6,93,15342.21,0
21183,27,1,16,9,3,5,2,5,28,4619.16,0
21189,1,1,28,9,3,6,2,6,147,24250.59,0
21266,16,1,23,8,3,6,2,6,184,30354.48,0
21293,18,1,25,8,3,10,2,10,73,12042.81,0
21412,35,1,3,12,4,9,3,9,87,14352.39,0
21443,30,1,14,8,3,5,2,5,156,25735.32,0
21694,16,1,20,1,1,10,3,9,55,9073.35,0
21739,21,1,6,8,3,5,2,5,165,27220.05,0
21754,7,1,5,3,1,7,4,6,37,6103.89,0
21812,7,1,17,10,4,9,2,9,61,10063.17,0
21815,5,1,14,1,1,9,3,8,16,2639.52,0
22148,34,1,19,12,4,8,3,8,18,2969.46,0
22483,29,1,30,4,2,6,4,5,182,30024.54,0
22538,3,1,29,6,2,5,1,5,113,18641.61,0
22602,13,1,24,3,1,7,4,6,127,20951.19,0
22797,25,1,31,10,4,5,2,5,172,28374.84,0
22909,1,1,8,6,2,9,1,9,14,2309.58,0
23007,32,1,12,12,4,9,3,9,100,16497.0,0
23017,30,1,27,4,2,7,4,6,200,32994.0,0
23089,2,1,31,10,4,9,2,9,166,27385.02,0
23140,11,1,6,7,3,8,1,8,90,14847.3,0
23193,13,1,6,6,2,5,1,5,147,24250.59,0
23202,16,1,8,6,2,8,1,8,45,7423.65,0
23720,32,1,25,8,3,8,2,8,142,23425.74,0
23808,16,1,30,4,2,8,4,7,87,14352.39,0
23935,20,1,6,4,2,5,4,4,145,23920.65,0
24025,38,1,20,8,3,7,2,7,10,1649.7,0
24258,17,1,21,2,1,9,4,8,156,25735.32,0
24359,21,1,16,9,3,7,2,7,68,11217.96,0
24402,6,1,5,6,2,6,1,6,193,31839.21,0
24404,9,1,30,3,1,6,4,5,156,25735.32,0
24462,20,1,17,12,4,7,3,7,128,21116.16,0
24541,2,1,23,3,1,6,4,5,59,9733.23,0
24681,34,1,12,9,3,6,2,6,94,15507.18,0
24690,18,1,27,7,3,8,1,8,71,11712.87,0
24760,4,1,21,10,4,9,2,9,168,27714.96,0
24771,3,1,24,3,1,7,4,6,186,30684.42,0
24823,27,1,22,1,1,5,3,4,121,19961.37,0
24855,40,1,28,1,1,5,3,4,152,25075.44,0
24874,10,1,22,9,3,5,2,5,22,3629.34,0
24902,20,1,5,5,2,9,1,9,105,17321.85,0
24907,6,1,14,8,3,5,2,5,29,4784.13,0
25091,31,1,8,2,1,5,4,4,172,28374.84,0
25293,12,1,17,8,3,8,2,8,64,10558.08,0
25426,16,1,8,10,4,8,2,8,180,29694.6,0
25507,37,1,8,5,2,7,1,7,131,21611.07,0
25552,19,1,25,10,4,10,2,10,140,23095.8,0
25640,31,1,22,5,2,8,1,8,182,30024.54,0
25714,24,1,30,3,1,9,4,8,164,27055.08,0
25729,39,1,22,1,1,8,3,7,183,30189.51,0
25845,22,1,21,3,1,6,4,5,138,22765.86,0
25972,30,1,29,11,4,6,3,6,37,6103.89,0
26087,30,1,2,7,3,10,1,10,185,30519.45,0
26130,23,1,20,8,3,9,2,9,21,3464.37,0
26185,28,1,25,1,1,10,3,9,158,26065.26,0
26200,3,1,26,7,3,6,1,6,126,20786.22,0
26238,22,1,20,11,4,5,3,5,174,28704.78,0
26282,12,1,2,4,2,7,4,6,156,25735.32,0
26352,9,1,21,6,2,7,1,7,53,8743.41,0
26381,33,1,8,6,2,6,1,6,81,13362.57,0
26478,26,1,10,2,1,8,4,7,140,23095.8,0
26518,39,1,19,10,4,10,2,10,96,15837.12,0
26527,13,1,24,4,2,6,4,5,172,28374.84,0
26529,28,1,16,7,3,8,1,8,61,10063.17,0
26615,13,1,20,3,1,5,4,4,65,10723.05,0
26617,28,1,22,4,2,9,4,8,199,32829.03,0
26634,32,1,19,10,4,7,2,7,187,30849.39,0
26682,37,1,27,6,2,8,1,8,170,28044.9,0
26799,25,1,26,8,3,7,2,7,189,31179.33,0
26834,40,1,4,10,4,9,2,9,39,6433.83,0
26944,22,1,3,12,4,10,3,10,96,15837.12,0
26970,34,1,5,11,4,6,3,6,95,15672.15,0
27292,5,1,1,10,4,8,2,8,19,3134.43,0
27365,25,1,3,8,3,6,2,6,36,5938.92,0
27413,19,1,2,3,1,10,4,9,112,18476.64,0
27569,19,1,30,1,1,8,3,7,139,22930.83,0
27667,27,1,26,10,4,7,2,7,72,11877.84,0
27726,24,1,19,11,4,6,3,6,49,8083.53,0
27848,3,1,4,2,1,10,4,9,178,29364.66,0
27889,40,1,5,10,4,7,2,7,27,4454.19,0
27924,39,1,20,12,4,9,3,9,108,17816.76,0
27983,22,1,14,5,2,7,1,7,181,29859.57,0
28106,1,1,24,2,1,5,4,4,128,21116.16,0
28269,21,1,20,11,4,8,3,8,26,4289.22,0
28376,26,1,23,9,3,9,2,9,183,30189.51,0
28502,27,1,19,12,4,7,3,7,16,2639.52,0
28514,27,1,12,4,2,7,4,6,57,9403.29,0
28656,39,1,25,5,2,8,1,8,80,13197.6,0
28758,35,1,15,6,2,8,1,8,14,2309.58,0
28767,17,1,9,6,2,9,1,9,21,3464.37,0
28800,21,1,6,1,1,6,3,5,153,25240.41,0
28873,21,1,9,6,2,7,1,7,69,11382.93,0
28893,17,1,18,7,3,10,1,10,135,22270.95,0
28913,26,1,8,10,4,6,2,6,159,26230.23,0
28973,5,1,6,7,3,5,1,5,18,2969.46,0
29065,29,1,8,11,4,5,3,5,119,19631.43,0
29211,26,1,10,12,4,7,3,7,42,6928.74,0
29362,15,1,4,9,3,9,2,9,29,4784.13,0
29366,22,1,29,3,1,6,4,5,86,14187.42,0
29477,15,1,12,4,2,9,4,8,54,8908.38,0
29701,7,1,25,7,3,5,1,5,113,18641.61,0
29852,35,1,15,7,3,10,1,10,78,12867.66,0
29858,21,1,16,7,3,9,1,9,192,31674.24,0
29930,18,1,22,12,4,8,3,8,14,2309.58,0
29933,25,1,16,8,3,7,2,7,99,16332.03,0
30019,3,1,26,4,2,7,4,6,112,18476.64,0
30067,13,1,30,7,3,7,1,7,107,17651.79,0
30081,26,1,16,9,3,9,2,9,15,2474.55,0
30205,24,1,2,10,4,10,2,10,124,20456.28,0
30238,9,1,6,4,2,6,4,5,83,13692.51,0
30251,33,1,29,6,2,8,1,8,61,10063.17,0
30319,8,1,13,10,4,8,2,8,47,7753.59,0
30372,3,1,28,10,4,5,2,5,196,32334.12,0
30487,6,1,23,1,1,7,3,6,173,28539.81,0
30522,12,1,29,6,2,6,1,6,104,17156.88,0
30562,28,1,27,6,2,9,1,9,21,3464.37,0
30704,3,1,16,3,1,10,4,9,174,28704.78,0
30761,22,1,11,9,3,6,2,6,47,7753.59,0
30809,36,1,27,5,2,10,1,10,173,28539.81,0
30817,23,1,1,12,4,7,3,7,87,14352.39,0
30961,2,1,16,11,4,6,3,6,90,14847.3,0
30998,21,1,12,9,3,8,2,8,107,17651.79,0
31068,19,1,27,4,2,9,4,8,17,2804.49,0
31212,23,1,17,8,3,6,2,6,114,18806.58,0
31272,31,1,27,8,3,7,2,7,98,16167.06,0
31358,9,1,22,11,4,9,3,9,68,11217.96,0
31360,40,1,9,8,3,9,2,9,91,15012.27,0
31548,10,1,23,1,1,10,3,9,117,19301.49,0
31675,40,1,26,3,1,10,4,9,143,23590.71,0
31678,31,1,2,10,4,8,2,8,80,13197.6,0
31685,31,1,14,3,1,8,4,7,132,21776.04,0
31975,2,1,26,1,1,8,3,7,82,13527.54,0
32045,3,1,16,7,3,7,1,7,142,23425.74,0
32100,28,1,5,5,2,10,1,10,82,13527.54,0
32248,37,1,8,3,1,8,4,7,78,12867.66,0
32250,4,1,13,10,4,10,2,10,172,24515.16,1
32304,31,1,22,6,2,10,1,10,168,27714.96,0
32320,25,1,24,4,2,6,4,5,99,16332.03,0
32344,4,1,5,2,1,6,4,5,138,22765.86,0
32355,25,1,10,8,3,9,2,9,107,17651.79,0
32463,11,1,4,3,1,9,4,8,21,3464.37,0
32517,14,1,30,12,4,9,3,9,53,8743.41,0
32521,4,1,23,8,3,8,2,8,173,28539.81,0
32619,10,1,1,3,1,9,4,8,194,32004.18,0
32678,15,1,6,5,2,7,1,7,94,15507.18,0
32744,13,1,3,12,4,9,3,9,75,12372.75,0
33033,8,1,23,11,4,9,3,9,52,8578.44,0
33124,20,1,13,2,1,5,4,4,144,23755.68,0
33144,31,1,30,7,3,7,1,7,83,13692.51,0
33212,3,1,16,2,1,6,4,5,22,3629.34,0
33273,1,1,26,8,3,5,2,5,58,9568.26,0
33296,26,1,23,7,3,7,1,7,133,21941.01,0
33316,15,1,30,3,1,9,4,8,60,9898.2,0
33430,34,1,8,7,3,9,1,9,77,12702.69,0
33493,6,1,19,10,4,8,2,8,174,28704.78,0
33709,21,1,17,10,4,5,2,5,72,11877.84,0
33828,24,1,3,3,1,10,4,9,131,21611.07,0
33885,33,1,26,9,3,5,2,5,37,6103.89,0
34011,28,1,5,9,3,5,2,5,179,29529.63,0
34101,40,1,18,10,4,9,2,9,36,5938.92,0
34329,25,1,21,10,4,8,2,8,176,29034.72,0
34382,31,1,10,11,4,9,3,9,52,8578.44,0
34525,16,1,4,3,1,5,4,4,195,32169.15,0
34557,27,1,8,12,4,6,3,6,98,16167.06,0
34565,22,1,28,11,4,6,3,6,101,16661.97,0
34677,13,1,31,12,4,8,3,8,56,9238.32,0
34682,40,1,4,12,4,8,3,8,17,2804.49,0
34739,17,1,11,9,3,5,2,5,172,28374.84,0
34759,15,1,21,11,4,8,3,8,40,6598.8,0
34762,18,1,24,10,4,6,2,6,115,18971.55,0
34861,31,1,15,7,3,9,1,9,198,32664.06,0
34974,12,1,25,1,1,6,3,5,41,6763.77,0
35048,21,1,11,2,1,8,4,7,53,8743.41,0
35207,8,1,2,9,3,7,2,7,85,14022.45,0
35212,16,1,5,5,2,8,1,8,81,13362.57,0
35297,12,1,23,12,4,7,3,7,26,4289.22,0
35454,28,1,20,6,2,6,1,6,127,20951.19,0
35727,20,1,30,8,3,9,2,9,76,12537.72,0
35915,5,1,17,4,2,10,4,9,135,22270.95,0
35983,10,1,18,9,3,9,2,9,44,7258.68,0
36016,22,1,16,3,1,8,4,7,53,8743.41,0
36053,38,1,3,10,4,9,2,9,28,4619.16,0
36066,17,1,15,8,3,5,2,5,90,14847.3,0
36098,12,1,5,12,4,5,3,5,115,18971.55,0
36131,35,1,9,11,4,10,3,10,103,16991.91,0
36189,7,1,24,7,3,9,1,9,48,7918.56,0
36191,22,1,20,7,3,8,1,8,12,1979.64,0
36228,16,1,22,6,2,5,1,5,131,21611.07,0
36241,23,1,26,6,2,6,1,6,76,12537.72,0
36292,21,1,2,3,1,10,4,9,127,20951.19,0
36324,13,1,9,6,2,9,1,9,184,30354.48,0
36460,11,1,7,3,1,9,4,8,16,2639.52,0
36464,17,1,17,1,1,6,3,5,189,31179.33,0
36472,25,1,26,6,2,7,1,7,64,10558.08,0
36544,29,1,12,1,1,5,3,4,64,10558.08,0
36582,33,1,26,3,1,5,4,4,138,22765.86,0
36588,33,1,26,3,1,9,4,8,78,12867.66,0
36761,8,1,6,8,3,5,2,5,123,20291.31,0
36828,14,1,19,12,4,9,3,9,77,12702.69,0
36851,34,1,13,1,1,10,3,9,124,20456.28,0
37100,27,1,16,3,1,10,4,9,11,1814.67,0
37110,5,1,13,8,3,8,2,8,183,30189.51,0
37171,36,1,17,5,2,5,1,5,188,31014.36,0
37265,10,1,18,3,1,9,4,8,104,17156.88,0
37275,40,1,19,10,4,5,2,5,156,25735.32,0
37368,8,1,19,5,2,5,1,5,61,10063.17,0
37372,39,1,10,10,4,7,2,7,137,22600.89,0
37379,2,1,18,3,1,10,4,9,148,24415.56,0
37406,11,1,20,5,2,5,1,5,133,21941.01,0
