invoiceid,custID,prodID,amt,qty,discounted,cal_month,cal_day,cal_year,cal_quarter,fiscal_quarter,fiscal_year
42,8,18,112,200,0,12,26,6,4,3,06
43,18,18,319,165,0,11,14,7,4,3,07
43,18,73,178,147,0,11,14,7,4,3,07
44,10,24,350,101,0,05,24,8,2,1,08
44,10,69,213,94,0,05,24,8,2,1,08
45,11,93,344,61,0,08,19,5,3,2,05
45,11,58,320,23,0,08,19,5,3,2,05
46,26,63,158,133,0,4,12,7,2,4,06
46,26,70,327,98,0,4,12,7,2,4,06
46,26,10,116,60,0,4,12,7,2,4,06
47,37,19,284,165,0,08,26,9,3,2,09
47,37,49,239,125,0,08,26,9,3,2,09
47,37,13,326,14,0,08,26,9,3,2,09
47,37,71,124,171,0,08,26,9,3,2,09
48,23,43,377,14,0,05,15,8,2,1,08
48,23,40,282,151,0,05,15,8,2,1,08
49,21,91,210,40,0,1,8,5,1,3,04
49,21,12,332,12,0,1,8,5,1,3,04
50,21,72,271,31,0,1,8,7,1,3,06
51,21,8,244,190,0,1,8,6,1,3,05
51,21,80,147,151,0,1,8,6,1,3,05
52,34,64,199,135,0,06,14,10,2,1,10
53,21,105,248,187,0,1,8,8,1,3,07
54,28,12,329,10,0,12,31,7,4,3,07
55,23,102,172,20,0,05,15,7,2,1,07
56,11,17,323,182,0,08,19,8,3,2,08
57,37,5,263,136,0,08,26,5,3,2,05
57,37,24,370,75,0,08,26,5,3,2,05
57,37,96,295,120,0,08,26,5,3,2,05
58,3,41,394,117,0,1,8,7,1,3,06
59,12,105,364,121,0,3,4,7,1,4,06
60,34,44,132,38,0,4,7,10,2,4,09
61,10,45,211,172,0,7,8,10,3,1,10
61,10,15,226,64,0,7,8,10,3,1,10
61,10,93,223,111,0,7,8,10,3,1,10
61,10,51,397,141,0,7,8,10,3,1,10
62,25,66,319,189,0,06,14,7,2,1,07
63,25,81,243,131,0,06,14,6,2,1,06
64,34,49,342,133,0,05,25,10,2,1,10
64,34,63,199,169,0,05,25,10,2,1,10
64,34,43,230,155,0,05,25,10,2,1,10
64,34,38,333,183,0,05,25,10,2,1,10
65,5,7,259,53,0,09,15,10,3,2,10
66,33,30,383,167,0,2,7,6,1,4,05
67,15,63,190,79,0,10,4,6,4,2,06
67,15,38,202,125,0,10,4,6,4,2,06
68,15,86,168,75,0,10,4,7,4,2,07
68,15,67,373,159,0,10,4,7,4,2,07
69,15,45,142,56,0,10,4,8,4,2,08
70,15,53,328,104,0,10,4,9,4,2,09
71,27,100,352,118,0,07,18,6,3,1,06
71,27,16,174,100,0,07,18,6,3,1,06
72,33,21,163,96,0,2,7,7,1,4,06
73,27,49,354,145,0,12,25,6,4,3,06
74,38,79,378,138,0,07,15,9,3,1,09
75,21,68,140,52,0,07,24,5,3,1,05
76,38,62,307,57,0,07,15,7,3,1,07
76,38,69,358,54,0,07,15,7,3,1,07
77,38,21,245,132,0,07,15,6,3,1,06
78,10,27,116,147,0,3,7,10,1,4,09
79,25,88,258,36,0,09,25,5,3,2,05
80,25,31,275,105,0,09,25,6,3,2,06
81,25,91,152,119,0,09,25,7,3,2,07
82,25,69,252,141,0,09,25,9,3,2,09
83,7,30,301,40,0,10,5,5,4,2,05
84,20,20,219,196,0,05,23,8,2,1,08
85,33,12,379,145,0,05,24,10,2,1,10
85,33,17,317,81,0,05,24,10,2,1,10
86,29,103,168,25,0,12,5,5,4,3,05
87,1,15,151,48,0,04,22,6,2,4,05
88,36,22,215,140,0,1,11,6,1,3,05
88,36,58,145,133,0,1,11,6,1,3,05
89,36,99,337,172,0,1,11,5,1,3,04
89,36,82,179,147,0,1,11,5,1,3,04
90,8,100,109,181,0,03,27,8,1,4,07
91,8,98,156,152,0,03,27,9,1,4,08
92,40,33,297,67,0,05,15,6,2,1,06
92,40,39,359,69,0,05,15,6,2,1,06
92,40,59,311,47,0,05,15,6,2,1,06
93,40,33,296,105,0,05,15,7,2,1,07
93,40,17,173,148,0,05,15,7,2,1,07
93,40,26,123,191,1,05,15,7,2,1,07
94,40,62,171,107,1,05,15,8,2,1,08
94,40,20,395,186,1,05,15,8,2,1,08
95,40,96,344,50,1,05,15,9,2,1,09
95,40,95,296,179,1,05,15,9,2,1,09
96,8,8,371,108,0,03,27,6,1,4,05
97,8,52,393,15,0,03,27,7,1,4,06
97,8,78,192,99,0,03,27,7,1,4,06
98,38,19,260,192,0,12,29,6,4,3,06
98,38,28,384,192,0,12,29,6,4,3,06
98,38,37,346,68,0,12,29,6,4,3,06
99,13,93,310,181,0,09,15,6,3,2,06
100,38,2,167,121,0,12,29,5,4,3,05
101,34,8,347,193,0,5,4,9,2,1,09
101,34,35,102,113,0,5,4,9,2,1,09
102,10,84,193,65,0,04,26,5,2,4,04
102,10,23,385,29,0,04,26,5,2,4,04
103,10,74,139,78,0,04,26,6,2,4,05
104,10,3,299,73,0,04,26,8,2,4,07
104,10,51,332,31,0,04,26,8,2,4,07
105,24,43,266,37,0,02,29,8,1,4,07
106,12,93,319,32,0,07,23,10,3,1,10
107,35,14,261,83,0,04,30,10,2,4,09
107,35,34,383,104,0,04,30,10,2,4,09
108,36,80,261,64,0,01,20,7,1,3,06
109,38,50,289,134,0,04,16,7,2,4,06
110,30,10,298,163,0,08,13,6,3,2,06
111,30,84,197,95,0,08,13,7,3,2,07
111,30,90,266,139,0,08,13,7,3,2,07
112,15,51,390,61,0,1,1,6,1,3,05
112,15,102,327,152,0,1,1,6,1,3,05
112,15,7,111,94,0,1,1,6,1,3,05
113,18,12,371,32,0,02,17,8,1,4,07
113,18,55,253,140,0,02,17,8,1,4,07
114,11,21,353,56,0,3,5,9,1,4,08
114,11,2,246,163,0,3,5,9,1,4,08
114,11,69,279,177,0,3,5,9,1,4,08
115,11,36,309,24,0,3,5,8,1,4,07
115,11,48,133,135,0,3,5,8,1,4,07
116,11,56,148,98,0,3,5,6,1,4,05
117,30,8,344,49,0,4,12,6,2,4,05
117,30,29,294,41,0,4,12,6,2,4,05
118,15,96,390,117,0,1,1,9,1,3,08
119,15,42,148,24,0,1,1,8,1,3,07
119,15,20,304,31,0,1,1,8,1,3,07
120,17,86,332,198,0,06,29,10,2,1,10
121,23,47,356,109,0,01,15,7,1,3,06
121,23,81,400,188,0,01,15,7,1,3,06
121,23,102,129,65,0,01,15,7,1,3,06
122,23,8,253,58,0,01,15,5,1,3,04
123,12,32,192,176,0,10,19,5,4,2,05
123,12,45,112,14,0,10,19,5,4,2,05
124,12,7,242,46,0,10,19,6,4,2,06
124,12,65,178,33,0,10,19,6,4,2,06
125,12,56,278,119,0,10,19,9,4,2,09
125,12,28,148,147,0,10,19,9,4,2,09
125,12,84,158,136,0,10,19,9,4,2,09
125,12,20,228,64,0,10,19,9,4,2,09
126,12,42,210,200,0,10,19,8,4,2,08
127,23,55,138,97,0,01,15,9,1,3,08
128,22,95,397,101,0,03,13,10,1,4,09
129,29,102,149,95,0,2,9,9,1,4,08
130,16,99,369,46,0,03,28,8,1,4,07
131,25,102,183,71,0,11,30,6,4,3,06
132,10,75,381,93,0,10,25,8,4,2,08
132,10,39,173,118,0,10,25,8,4,2,08
133,10,80,371,161,0,10,25,9,4,2,09
133,10,57,303,47,0,10,25,9,4,2,09
133,10,54,221,137,0,10,25,9,4,2,09
134,10,4,270,135,0,10,25,7,4,2,07
134,10,102,149,145,0,10,25,7,4,2,07
135,25,85,350,107,0,11,30,8,4,3,08
136,16,60,137,124,0,03,28,5,1,4,04
137,29,77,215,119,0,2,9,7,1,4,06
137,29,32,163,97,0,2,9,7,1,4,06
138,16,17,237,36,0,03,28,6,1,4,05
138,16,82,395,129,0,03,28,6,1,4,05
138,16,93,340,108,0,03,28,6,1,4,05
138,16,38,311,173,0,03,28,6,1,4,05
139,28,100,343,46,0,05,13,10,2,1,10
140,34,59,348,22,0,01,19,7,1,3,06
141,14,50,109,165,0,08,21,7,3,2,07
142,34,35,392,115,0,01,19,6,1,3,05
143,27,54,383,146,0,8,12,5,3,2,05
143,27,27,171,75,0,8,12,5,3,2,05
143,27,47,281,52,0,8,12,5,3,2,05
143,27,81,334,184,0,8,12,5,3,2,05
144,29,30,189,43,0,05,29,5,2,1,05
145,29,103,112,86,0,05,29,6,2,1,06
146,27,73,383,190,0,8,12,6,3,2,06
146,27,26,185,44,0,8,12,6,3,2,06
146,27,105,215,183,0,8,12,6,3,2,06
147,15,46,309,192,0,10,8,8,4,2,08
148,34,45,322,33,0,01,19,5,1,3,04
148,34,81,255,200,0,01,19,5,1,3,04
149,12,56,154,92,0,09,19,9,3,2,09
150,15,16,312,47,0,10,8,5,4,2,05
150,15,12,196,72,0,10,8,5,4,2,05
151,12,75,143,123,0,09,19,5,3,2,05
152,15,84,367,72,0,10,8,7,4,2,07
152,15,50,179,161,0,10,8,7,4,2,07
152,15,105,252,118,0,10,8,7,4,2,07
153,37,8,142,11,0,10,9,7,4,2,07
154,37,94,202,104,0,10,9,6,4,2,06
154,37,23,234,80,0,10,9,6,4,2,06
155,33,65,308,186,0,05,26,5,2,1,05
156,33,98,114,195,0,05,26,6,2,1,06
157,33,16,126,199,0,05,26,7,2,1,07
157,33,77,142,37,0,05,26,7,2,1,07
157,33,60,173,19,0,05,26,7,2,1,07
158,11,84,355,173,0,09,26,9,3,2,09
159,20,93,248,29,0,10,3,9,4,2,09
160,33,87,237,182,0,05,26,9,2,1,09
160,33,23,184,87,0,05,26,9,2,1,09
161,34,31,283,133,0,01,19,8,1,3,07
161,34,1,237,191,0,01,19,8,1,3,07
162,5,59,292,166,0,09,28,10,3,2,10
163,32,8,298,54,0,05,31,10,2,1,10
164,8,51,212,90,0,12,26,9,4,3,09
165,12,81,287,179,0,09,20,10,3,2,10
166,39,25,215,144,0,11,27,6,4,3,06
166,39,60,276,49,0,11,27,6,4,3,06
166,39,52,154,32,0,11,27,6,4,3,06
166,39,17,287,34,0,11,27,6,4,3,06
166,39,42,230,119,0,11,27,6,4,3,06
167,39,80,319,195,0,11,27,7,4,3,07
168,39,37,267,74,0,11,27,8,4,3,08
168,39,2,366,169,0,11,27,8,4,3,08
168,39,49,351,100,0,11,27,8,4,3,08
169,39,98,264,187,0,11,27,9,4,3,09
170,26,50,377,113,0,06,26,9,2,1,09
171,34,73,163,139,0,04,27,10,2,4,09
171,34,99,167,103,0,04,27,10,2,4,09
172,26,74,187,11,0,06,26,6,2,1,06
172,26,40,175,56,0,06,26,6,2,1,06
172,26,1,137,14,0,06,26,6,2,1,06
172,26,16,352,29,0,06,26,6,2,1,06
173,26,48,258,183,0,06,26,5,2,1,05
174,6,35,115,64,0,09,18,7,3,2,07
175,18,97,172,199,0,04,30,9,2,4,08
176,3,51,284,44,0,07,15,10,3,1,10
177,9,21,238,153,0,12,4,9,4,3,09
178,23,72,223,29,0,2,8,10,1,4,09
179,6,49,212,111,0,09,18,5,3,2,05
179,6,3,330,144,0,09,18,5,3,2,05
180,18,72,217,155,0,04,30,5,2,4,04
181,18,12,101,122,0,04,30,7,2,4,06
182,18,65,145,42,0,04,30,6,2,4,05
182,18,25,210,171,0,04,30,6,2,4,05
183,38,72,130,106,0,8,7,10,3,2,10
183,38,60,305,97,0,8,7,10,3,2,10
183,38,92,355,61,0,8,7,10,3,2,10
184,31,92,313,22,0,11,9,5,4,3,05
185,31,83,349,38,0,11,9,6,4,3,06
185,31,71,116,19,0,11,9,6,4,3,06
186,31,95,144,46,0,11,9,7,4,3,07
187,31,91,188,164,0,3,5,5,1,4,04
188,31,101,130,101,0,3,5,7,1,4,06
188,31,33,244,152,0,3,5,7,1,4,06
188,31,52,207,197,0,3,5,7,1,4,06
188,31,104,394,73,0,3,5,7,1,4,06
189,31,82,291,14,0,3,5,6,1,4,05
190,31,77,395,21,0,3,5,9,1,4,08
191,31,42,210,105,0,3,5,8,1,4,07
192,31,96,392,75,0,11,9,8,4,3,08
193,27,36,175,123,0,6,9,10,2,1,10
194,10,9,235,161,0,08,26,8,3,2,08
194,10,75,101,165,0,08,26,8,3,2,08
195,23,74,169,79,0,03,21,9,1,4,08
196,18,82,278,115,0,03,16,6,1,4,05
197,10,54,143,77,0,08,26,5,3,2,05
197,10,61,240,128,0,08,26,5,3,2,05
198,23,88,117,77,0,03,21,6,1,4,05
199,10,11,160,42,0,08,26,7,3,2,07
199,10,54,315,130,0,08,26,7,3,2,07
200,29,13,115,53,0,9,7,8,3,2,08
201,29,55,298,148,0,9,7,9,3,2,09
201,29,81,365,195,0,9,7,9,3,2,09
201,29,34,142,47,0,9,7,9,3,2,09
201,29,67,109,139,0,9,7,9,3,2,09
202,32,94,332,113,0,03,29,6,1,4,05
203,32,45,364,112,0,03,29,5,1,4,04
203,32,6,219,101,0,03,29,5,1,4,04
204,32,17,179,90,0,03,29,8,1,4,07
205,32,42,310,57,0,03,29,9,1,4,08
206,29,73,258,41,0,9,7,5,3,2,05
207,35,86,268,41,0,08,30,10,3,2,10
207,35,38,242,81,0,08,30,10,3,2,10
208,26,62,382,157,0,4,12,5,2,4,04
209,25,36,382,88,0,1,7,9,1,3,08
210,25,12,192,169,0,1,7,5,1,3,04
210,25,38,397,66,0,1,7,5,1,3,04
210,25,54,300,99,0,1,7,5,1,3,04
211,25,75,264,84,0,1,7,6,1,3,05
211,25,59,325,155,0,1,7,6,1,3,05
212,12,53,166,190,0,02,22,10,1,4,09
213,26,31,155,150,0,02,26,7,1,4,06
214,32,102,374,105,0,08,26,5,3,2,05
214,32,23,112,101,0,08,26,5,3,2,05
214,32,41,342,70,0,08,26,5,3,2,05
215,3,100,112,85,0,10,14,9,4,2,09
216,3,63,389,139,0,10,14,8,4,2,08
217,4,28,349,69,0,02,16,9,1,4,08
218,3,77,246,146,0,10,14,7,4,2,07
219,32,15,347,44,0,08,26,9,3,2,09
220,26,58,261,152,0,02,26,9,1,4,08
220,26,60,252,182,0,02,26,9,1,4,08
221,26,77,100,176,0,02,26,8,1,4,07
221,26,60,297,57,0,02,26,8,1,4,07
221,26,79,249,126,0,02,26,8,1,4,07
222,21,38,142,105,0,1,8,9,1,3,08
223,33,34,132,145,0,07,16,9,3,1,09
224,33,92,213,82,0,07,16,8,3,1,08
225,4,84,337,159,0,09,22,10,3,2,10
225,4,67,268,13,0,09,22,10,3,2,10
226,31,66,298,197,0,1,6,9,1,3,08
227,16,91,178,64,0,07,28,7,3,1,07
227,16,94,272,41,0,07,28,7,3,1,07
228,20,38,165,143,0,02,20,8,1,4,07
229,7,95,119,112,0,12,2,8,4,3,08
229,7,54,250,48,0,12,2,8,4,3,08
230,7,30,363,111,0,6,8,10,2,1,10
231,11,14,391,193,0,08,19,9,3,2,09
231,11,52,334,31,0,08,19,9,3,2,09
232,7,19,126,69,0,12,2,9,4,3,09
233,16,76,329,117,0,07,28,9,3,1,09
234,16,103,159,64,0,07,28,8,3,1,08
234,16,88,301,67,0,07,28,8,3,1,08
234,16,12,159,171,0,07,28,8,3,1,08
235,20,89,379,41,0,02,20,5,1,4,04
235,20,18,400,161,0,02,20,5,1,4,04
235,20,33,209,33,0,02,20,5,1,4,04
236,23,91,152,158,0,05,15,6,2,1,06
236,23,60,395,28,0,05,15,6,2,1,06
236,23,92,186,127,0,05,15,6,2,1,06
237,23,87,323,64,0,05,15,5,2,1,05
238,29,102,277,167,0,12,31,6,4,3,06
239,29,18,122,165,0,12,31,5,4,3,05
240,38,101,249,188,0,10,17,9,4,2,09
241,14,22,385,109,0,02,28,9,1,4,08
242,16,6,222,179,0,4,11,8,2,4,07
242,16,105,136,62,0,4,11,8,2,4,07
243,7,5,305,28,0,12,2,5,4,3,05
244,11,18,157,90,0,12,10,9,4,3,09
245,4,64,374,184,0,02,16,7,1,4,06
245,4,52,163,48,0,02,16,7,1,4,06
246,35,97,387,35,0,9,11,6,3,2,06
247,35,70,297,52,0,9,11,7,3,2,07
247,35,58,356,85,0,9,11,7,3,2,07
248,11,60,167,137,0,12,10,5,4,3,05
248,11,26,147,196,0,12,10,5,4,3,05
249,35,49,275,167,0,9,11,5,3,2,05
249,35,45,127,35,0,9,11,5,3,2,05
250,27,85,271,164,0,12,4,10,4,3,10
250,27,40,239,166,0,12,4,10,4,3,10
251,38,6,212,77,0,05,22,10,2,1,10
252,25,58,187,173,0,6,10,10,2,1,10
253,32,15,323,18,0,05,13,10,2,1,10
253,32,104,147,103,0,05,13,10,2,1,10
254,3,89,400,121,0,9,2,10,3,2,10
255,19,87,101,158,0,05,20,9,2,1,09
255,19,53,157,190,0,05,20,9,2,1,09
255,19,14,324,77,0,05,20,9,2,1,09
256,3,24,290,164,0,01,22,8,1,3,07
257,19,91,295,177,0,12,30,7,4,3,07
258,12,33,255,27,0,3,4,9,1,4,08
258,12,24,287,53,0,3,4,9,1,4,08
259,19,70,304,127,0,12,30,6,4,3,06
260,12,29,276,139,0,4,7,8,2,4,07
261,20,85,244,37,0,06,20,7,2,1,07
262,20,45,348,115,0,06,20,6,2,1,06
262,20,92,106,166,0,06,20,6,2,1,06
263,20,65,163,138,0,11,20,6,4,3,06
264,17,21,321,102,0,10,27,9,4,2,09
264,17,10,261,105,0,10,27,9,4,2,09
265,17,61,299,98,0,10,27,8,4,2,08
265,17,97,219,119,0,10,27,8,4,2,08
265,17,55,283,133,0,10,27,8,4,2,08
266,26,15,249,10,0,5,3,10,2,1,10
266,26,58,369,167,0,5,3,10,2,1,10
267,20,68,162,151,0,06,20,8,2,1,08
268,26,39,154,32,0,12,21,9,4,3,09
269,26,78,342,149,0,12,21,8,4,3,08
269,26,64,172,143,0,12,21,8,4,3,08
270,7,10,156,70,0,06,27,7,2,1,07
270,7,42,373,45,0,06,27,7,2,1,07
271,36,7,322,200,0,10,19,9,4,2,09
272,36,5,115,31,0,10,19,8,4,2,08
273,36,100,348,72,0,10,19,6,4,2,06
273,36,77,287,181,0,10,19,6,4,2,06
273,36,45,271,163,0,10,19,6,4,2,06
274,7,99,310,175,0,06,27,8,2,1,08
275,26,61,371,176,0,12,21,5,4,3,05
275,26,16,143,120,0,12,21,5,4,3,05
276,26,52,300,36,0,12,21,7,4,3,07
276,26,13,284,112,0,12,21,7,4,3,07
276,26,86,339,170,0,12,21,7,4,3,07
277,3,93,248,142,0,02,28,8,1,4,07
278,5,74,119,64,0,12,4,6,4,3,06
278,5,25,156,70,0,12,4,6,4,3,06
279,3,40,164,106,0,02,28,5,1,4,04
280,3,68,116,172,0,02,28,7,1,4,06
280,3,44,246,84,0,02,28,7,1,4,06
281,3,93,331,192,0,02,28,6,1,4,05
282,22,94,159,163,0,11,12,8,4,3,08
282,22,96,156,21,0,11,12,8,4,3,08
283,22,82,136,151,0,11,12,9,4,3,09
283,22,61,237,118,0,11,12,9,4,3,09
284,2,76,214,46,0,05,23,7,2,1,07
285,8,70,312,124,0,10,4,5,4,2,05
286,32,84,308,85,0,07,29,8,3,1,08
286,32,3,154,129,0,07,29,8,3,1,08
286,32,49,169,44,0,07,29,8,3,1,08
286,32,42,174,127,0,07,29,8,3,1,08
287,15,76,170,198,0,12,9,6,4,3,06
287,15,87,308,56,0,12,9,6,4,3,06
287,15,20,106,37,0,12,9,6,4,3,06
288,15,61,175,184,0,12,9,9,4,3,09
288,15,56,362,143,0,12,9,9,4,3,09
288,15,34,377,113,0,12,9,9,4,3,09
289,15,104,217,159,0,12,9,8,4,3,08
290,32,7,227,105,0,07,29,5,3,1,05
291,22,20,282,149,0,11,12,5,4,3,05
292,22,32,195,96,0,11,12,6,4,3,06
292,22,41,271,152,0,11,12,6,4,3,06
293,22,58,307,165,0,11,12,7,4,3,07
294,39,91,248,64,0,03,13,8,1,4,07
294,39,79,114,168,0,03,13,8,1,4,07
294,39,78,194,91,0,03,13,8,1,4,07
294,39,9,305,111,0,03,13,8,1,4,07
295,37,57,111,110,0,2,5,10,1,4,09
295,37,47,187,104,0,2,5,10,1,4,09
295,37,20,153,31,0,2,5,10,1,4,09
295,37,105,336,194,0,2,5,10,1,4,09
295,37,37,184,52,0,2,5,10,1,4,09
296,2,92,183,66,0,10,1,9,4,2,09
297,25,18,310,184,0,01,22,10,1,3,09
297,25,43,170,139,0,01,22,10,1,3,09
298,40,18,377,138,0,5,12,9,2,1,09
298,40,99,336,158,0,5,12,9,2,1,09
299,39,51,193,93,0,03,13,6,1,4,05
300,39,33,309,126,0,03,13,7,1,4,06
300,39,45,264,34,0,03,13,7,1,4,06
300,39,41,364,94,0,03,13,7,1,4,06
301,28,89,365,168,0,05,16,9,2,1,09
301,28,66,219,156,0,05,16,9,2,1,09
302,28,84,209,84,0,05,16,8,2,1,08
303,4,99,288,155,0,6,8,8,2,1,08
304,40,56,207,24,0,5,12,8,2,1,08
304,40,6,323,46,0,5,12,8,2,1,08
304,40,15,190,99,0,5,12,8,2,1,08
304,40,54,292,185,0,5,12,8,2,1,08
305,40,37,342,117,0,01,21,10,1,3,09
305,40,24,272,188,0,01,21,10,1,3,09
306,4,34,122,167,0,09,14,10,3,2,10
307,28,13,195,166,0,05,16,7,2,1,07
308,4,49,145,56,0,6,8,5,2,1,05
309,27,89,234,61,0,12,26,5,4,3,05
310,9,48,151,147,0,8,5,5,3,2,05
311,27,105,350,187,0,12,26,7,4,3,07
312,36,9,276,21,0,12,9,9,4,3,09
313,9,92,384,103,0,8,5,8,3,2,08
313,9,28,362,90,0,8,5,8,3,2,08
314,9,11,361,168,0,8,5,9,3,2,09
314,9,31,397,109,0,8,5,9,3,2,09
315,36,68,248,189,0,12,9,5,4,3,05
315,36,14,302,189,0,12,9,5,4,3,05
315,36,77,349,47,0,12,9,5,4,3,05
316,4,31,107,21,0,11,11,5,4,3,05
316,4,92,378,113,0,11,11,5,4,3,05
317,4,94,390,173,0,11,11,6,4,3,06
318,4,31,146,90,0,08,30,6,3,2,06
319,5,20,382,178,0,12,27,8,4,3,08
320,26,93,309,26,0,01,29,10,1,3,09
320,26,86,191,43,0,01,29,10,1,3,09
320,26,64,132,195,0,01,29,10,1,3,09
321,21,13,296,98,0,02,16,10,1,4,09
322,4,19,333,185,0,11,11,9,4,3,09
322,4,26,386,189,0,11,11,9,4,3,09
323,31,22,149,140,0,05,21,10,2,1,10
324,20,75,123,153,0,6,4,9,2,1,09
325,20,74,207,110,0,6,4,8,2,1,08
326,20,48,372,187,0,6,4,5,2,1,05
326,20,39,278,66,0,6,4,5,2,1,05
327,4,88,289,46,0,9,9,6,3,2,06
328,20,49,318,179,0,6,4,7,2,1,07
329,20,35,248,192,0,6,4,6,2,1,06
330,34,41,140,196,0,06,29,10,2,1,10
331,34,1,199,36,0,7,5,7,3,1,07
331,34,55,213,137,0,7,5,7,3,1,07
332,37,45,399,124,0,08,24,5,3,2,05
333,37,34,147,32,0,08,24,7,3,2,07
334,15,17,120,100,0,03,28,8,1,4,07
335,20,16,218,155,0,3,5,5,1,4,04
336,11,14,347,165,0,09,20,7,3,2,07
337,38,24,338,16,0,01,22,10,1,3,09
338,37,36,311,89,0,08,24,9,3,2,09
338,37,97,196,181,0,08,24,9,3,2,09
339,37,70,283,175,0,08,24,8,3,2,08
340,30,101,354,168,0,11,1,5,4,3,05
341,2,102,395,185,0,11,5,7,4,3,07
342,21,40,133,65,0,08,25,5,3,2,05
342,21,37,100,53,0,08,25,5,3,2,05
343,21,58,207,119,0,08,25,9,3,2,09
343,21,86,208,187,0,08,25,9,3,2,09
343,21,12,242,196,0,08,25,9,3,2,09
344,21,40,358,179,0,08,25,8,3,2,08
344,21,85,118,105,0,08,25,8,3,2,08
344,21,4,107,173,0,08,25,8,3,2,08
344,21,44,243,108,0,08,25,8,3,2,08
344,21,57,368,168,0,08,25,8,3,2,08
345,7,81,306,75,0,06,17,9,2,1,09
345,7,105,295,134,0,06,17,9,2,1,09
345,7,57,131,98,0,06,17,9,2,1,09
345,7,28,199,174,0,06,17,9,2,1,09
346,30,5,161,168,0,11,1,8,4,3,08
347,6,59,210,111,0,12,18,6,4,3,06
347,6,55,322,58,0,12,18,6,4,3,06
348,6,76,306,186,0,12,18,5,4,3,05
348,6,45,120,99,0,12,18,5,4,3,05
348,6,7,302,144,0,12,18,5,4,3,05
349,30,83,319,89,0,06,30,10,2,1,10
349,30,48,124,88,0,06,30,10,2,1,10
350,26,95,280,84,0,01,21,6,1,3,05
350,26,21,314,165,0,01,21,6,1,3,05
351,6,7,202,120,0,12,18,8,4,3,08
351,6,31,226,168,0,12,18,8,4,3,08
352,23,39,281,71,0,6,6,10,2,1,10
353,30,77,387,194,0,1,4,7,1,3,06
354,30,71,378,127,0,1,4,6,1,3,05
